a,uh,
a,eh,
Abel,able,
absence,absents,
abstinence,abstinents,
accede,axseed,
accepter,acceptor,
accidence,accidents,
acclamation,acclimation,
ad,add,
adds,ads,adze,
ade,aid,aide,
adherence,adherents,
adieu,ado,
adolescence,adolescents,
adulteress,adulterous,
adventuress,adventurous,
aerial,ariel,
aerie,aery,airy,eyrie,
aes,ayes,eyes,
ai,aye,eye,I,
ail,ale,
ails,ales,
air,aire,are,ayre,ere,err,eyre,heir,
airless,heirless,
aisle,I'll,isle,
ait,ate,eight,
aitch,h,
all,awl,
allowed,aloud,
all ready,already (2 words/1 word),
all together,altogether (2 words/1 word),
altar,alter,
analyst,annalist,
ant,aunt,
ante,anti-,auntie,aunty,
apatite,appetite,
apps,apse,
ar,are,
arc,ark,
armer,armor,
as,ass,asse,
ascent,assent,
assistance,assistants,
attendance,attendants,
auger,augur,
aught,ought,
auk,awk,
auld,awled,
aural,oral,
auricle,oracle,
autarchy,autarky,
away,aweigh,
a while (See while),awhile,
axel,axil,axle,
baa,bah,
Baal,bail,bale,
babble,babel,
bach,batch,
bached,batched,
baching,batching,
bad,bade,
baht,bot,
bailed,baled,
bailee,bailey,bailie,
bailer,bailor,baler,
bair,bare,bear,
bait,bate,
baited,bated,
baiting,bating,
baize,bays,beys,
bald,balled,bawled,
ball,bawl,
balm,bomb,
baloney,bologna,
ban,bann,
band,banned,
bar,barre,
bard,barred,
bare,bear,
barer,bearer,
baring,bearing,
bark,barque,
baron,barren,
basal,basil,
base,bass,
based,baste,
bases,basses,
basest,bassist,
bask,basque,
bat,batt,
baud,bawd,
bay,bey,
bazaar,bizarre,
beach,beech,
bean,been,
beat,beet,
beau,bow,
beaut,butte,
blair,blare,
boar,boer,bore,
board,bored,
boarder,border,
brae,bray,
braes,braise,brays,braze,
braid,brayed,
brake,break,
braking,breaking,
brassie,brassy,
breach,breech,
bread,bred,
bridal,bridle,
buccal,buckle,
cache,cash,
cached,cashed,
caches,cashes,
caching,cashing,
cachou,cashew,
caddie,caddy,cadi,
caird,cared,
calculous,calculus,
calendar,calender,
calix,calyx,
calk,caulk,
call,caul,col,
callous,callus,
camara,camera,
came,kame,
canape,canopy,
canine,K9,
cannon,canon,
can't,cant,
canter,cantor,
canvas,canvass,
canvases,canvasses,
capital,capitol,
carat,caret,carrot,karat,
caries,carries,
carol,carrel,
carpal,carpel,
cask,casque,
cast,caste,
caster,castor,
caudal,caudle,
cause,caws,
cay,quay,key,
cays,quays,keys,
cedar,ceder,seeder,
cellar,seller,
cerate,serrate,
cereal,serial,
chair,chare,
chaise,shays,
champagne,champaign,
chance,chants,
chantey,chanty,shanty,
chard,charred,
chary,cherry,
chased,chaste,
cheap,cheep,
choral,coral,
chorale,corral,
chordate,cordate,
citable,sightable,sitable,
clabbered,clapboard,
clack,clacque,
clairvoyance,clairvoyants,
clamber,clammer,clamor,
clause,claws,
coal,cole,kohl,
coaming,combing,
coarse,corse,course,
coarser,courser,
coat,cote,
coax,cokes,
cocoa,coco,
collar,choler,
collard,collared,
complacent,complaisant,
compleat,complete,
confectionary,confectionery,
coward,cowered,
craft,kraft,
crape,crepe,
crappie,crappy,
crater,krater,
creak,creek,
currant,current,
cymbal,symbol,
dam,damn,
dammed,damned,
days,daze,
dean,dene,
dear,deer,
dental,dentil,
depravation,deprivation,
descendant,descendent,
drachm,dram,
draft,draught,
dual,duel,
earn,erne,urn,
ease,e's,
eaves,eves,
equater,equator,
equivalence,equivalents,
facts,Fax,
faery,fairy,
faille,phial,file,
fain,fane,feign,
faint,feint,
faints,feints,
fair,fare,
fairing,faring,
fairs,fares,
faker,fakir,
fakers,fakirs,
farming,pharming,
faro,farrow,pharaoh,
fat,phat,
fate,fete,
fated,feted,
fates,fetes,
father,fother,
faun,fawn,
fay,fey,
fays,faze,phase,
fazed,phased,
fazes,phases,
fazing,phasing,
feat,feet,
feaze,fees,feeze,
fiance,fiancee,
flack,flak,
flair,flare,
flay,fley,
flea,flee,
fleas,flees,
foaled,fold,
forbear,forebear,
foreward,forward,foreword,
fraise,frays,phrase,
franc,frank,
freak,phreak,
friar,frier,fryer,
gaff,gaffe,
gage,gauge,
gaht,gat,
gait,gate,
gaited,gated,
gaiter,gator,
galley,gally,
gallop,galop,
gamble,gambol,
gamin,gammon,
gased,gassed,gast,
gays,gaze,
glair,glare,
glairy,glary,
gnar,knar,
gnatty,natty,
gorilla,guerilla,
grade,grayed,
gradience,gradients,
graft,graphed,
grate,great,
gray,grey,
grayer,greyer,
grays,graze,
greave,grieve,
greaves,grieves,
grievance,grievants,
groan,grown,
guarantee,guaranty,
gunwhale,gunnel,
hae,hay,hey,
ha ha,ha-ha,
haik,hike,
hail,hale,
hair,hare,
hall,haul,
halve,have,
halves,haves,
handmade,handmaid,
handsome,hansom,
hangar,hanger,
hart,heart,
hays,haze,
heal,he'll,heel,
heald,healed,heeled,
hear,here,
heard,herd,
hears,here's,
hoar,whore,
hoard,horde,whored,
hoarse,horse,
ilea,ilia,
immanent,imminent,
impassable,impassible,
incandescence,incandescents,
inductance,inductants,
installation,instillation,
instance,instants,
invade,inveighed,
jab,jabb,
jam,jamb,
jay,j,
jean,gene,
jeans,genes,
kay,k,
kayak,kyack,
khan,con,conn,
khat,cot,
knap,nap,
knaves,naves,
knead,kneed,need,
kneaded,needed,
kneading,needing,
kneads,needs,
krona,krone,
laager,lager,logger,
